"filename", "language", "JavaScript", "CSS", "JSON", "HTML", "Vue", "Markdown", "comment", "blank", "total"
"f:\projects\vue\edify-centre-project\README.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 5, 20
"f:\projects\vue\edify-centre-project\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"f:\projects\vue\edify-centre-project\package-lock.json", "JSON", 0, 0, 25685, 0, 0, 0, 0, 1, 25686
"f:\projects\vue\edify-centre-project\package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 1, 21
"f:\projects\vue\edify-centre-project\public\index.html", "HTML", 0, 0, 0, 17, 0, 0, 1, 1, 19
"f:\projects\vue\edify-centre-project\src\App.vue", "Vue", 0, 0, 0, 0, 32, 0, 0, 3, 35
"f:\projects\vue\edify-centre-project\src\components\Footer.vue", "Vue", 0, 0, 0, 0, 18, 0, 0, 5, 23
"f:\projects\vue\edify-centre-project\src\components\Header.vue", "Vue", 0, 0, 0, 0, 11, 0, 0, 3, 14
"f:\projects\vue\edify-centre-project\src\components\Navbar.vue", "Vue", 0, 0, 0, 0, 26, 0, 0, 4, 30
"f:\projects\vue\edify-centre-project\src\components\Sidebar.vue", "Vue", 0, 0, 0, 0, 29, 0, 0, 3, 32
"f:\projects\vue\edify-centre-project\src\main.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\projects\vue\edify-centre-project\src\router\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"f:\projects\vue\edify-centre-project\src\styles\login.css", "CSS", 0, 102, 0, 0, 0, 0, 0, 13, 115
"f:\projects\vue\edify-centre-project\src\styles\navbar.css", "CSS", 0, 47, 0, 0, 0, 0, 9, 13, 69
"f:\projects\vue\edify-centre-project\src\styles\registration.css", "CSS", 0, 100, 0, 0, 0, 0, 0, 14, 114
"f:\projects\vue\edify-centre-project\src\styles\sidebar.css", "CSS", 0, 36, 0, 0, 0, 0, 8, 9, 53
"f:\projects\vue\edify-centre-project\src\views\About.vue", "Vue", 0, 0, 0, 0, 14, 0, 0, 4, 18
"f:\projects\vue\edify-centre-project\src\views\Home.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 2, 19
"f:\projects\vue\edify-centre-project\src\views\Login.vue", "Vue", 0, 0, 0, 0, 37, 0, 0, 4, 41
"f:\projects\vue\edify-centre-project\src\views\Registration.vue", "Vue", 0, 0, 0, 0, 53, 0, 0, 2, 55
"Total", "-", 38, 285, 25705, 17, 237, 15, 18, 94, 26409
