"filename", "language", "JavaScript", "Vue", "CSS", "JSON", "comment", "blank", "total"
"f:\projects\vue\edify-project\front-end\src\App.vue", "Vue", 0, 34, 0, 0, 0, 2, 36
"f:\projects\vue\edify-project\front-end\src\axios.js", "JavaScript", 3, 0, 0, 0, 0, 1, 4
"f:\projects\vue\edify-project\front-end\src\components\CourseForm.vue", "Vue", 0, 57, 0, 0, 0, 7, 64
"f:\projects\vue\edify-project\front-end\src\components\Footer.vue", "Vue", 0, 18, 0, 0, 0, 5, 23
"f:\projects\vue\edify-project\front-end\src\components\Header.vue", "Vue", 0, 11, 0, 0, 0, 3, 14
"f:\projects\vue\edify-project\front-end\src\components\Navbar.vue", "Vue", 0, 51, 0, 0, 0, 6, 57
"f:\projects\vue\edify-project\front-end\src\components\Sidebar.vue", "Vue", 0, 62, 0, 0, 0, 6, 68
"f:\projects\vue\edify-project\front-end\src\components\course.vue", "Vue", 0, 60, 0, 0, 0, 3, 63
"f:\projects\vue\edify-project\front-end\src\components\lesson.vue", "Vue", 0, 19, 0, 0, 0, 3, 22
"f:\projects\vue\edify-project\front-end\src\main.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"f:\projects\vue\edify-project\front-end\src\router\index.js", "JavaScript", 59, 0, 0, 0, 36, 4, 99
"f:\projects\vue\edify-project\front-end\src\services\Token.service.js", "JavaScript", 23, 0, 0, 0, 3, 2, 28
"f:\projects\vue\edify-project\front-end\src\services\api.service.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"f:\projects\vue\edify-project\front-end\src\services\user.service.js", "JavaScript", 31, 0, 0, 0, 0, 0, 31
"f:\projects\vue\edify-project\front-end\src\settings\course.json", "JSON", 0, 0, 0, 449, 0, 0, 449
"f:\projects\vue\edify-project\front-end\src\settings\links.json", "JSON", 0, 0, 0, 45, 0, 4, 49
"f:\projects\vue\edify-project\front-end\src\styles\dashboard.css", "CSS", 0, 0, 6, 0, 0, 0, 6
"f:\projects\vue\edify-project\front-end\src\styles\form.css", "CSS", 0, 0, 66, 0, 0, 9, 75
"f:\projects\vue\edify-project\front-end\src\styles\login.css", "CSS", 0, 0, 111, 0, 0, 14, 125
"f:\projects\vue\edify-project\front-end\src\styles\navbar.css", "CSS", 0, 0, 54, 0, 9, 14, 77
"f:\projects\vue\edify-project\front-end\src\styles\passwordReset.css", "CSS", 0, 0, 80, 0, 0, 11, 91
"f:\projects\vue\edify-project\front-end\src\styles\registration.css", "CSS", 0, 0, 101, 0, 0, 14, 115
"f:\projects\vue\edify-project\front-end\src\styles\sidebar.css", "CSS", 0, 0, 94, 0, 4, 20, 118
"f:\projects\vue\edify-project\front-end\src\styles\variables.css", "CSS", 0, 0, 8, 0, 0, 0, 8
"f:\projects\vue\edify-project\front-end\src\views\Dashboard.vue", "Vue", 0, 35, 0, 0, 0, 2, 37
"f:\projects\vue\edify-project\front-end\src\views\Dashboardviews\CoursesList.vue", "Vue", 0, 33, 0, 0, 0, 2, 35
"f:\projects\vue\edify-project\front-end\src\views\Dashboardviews\profile.vue", "Vue", 0, 14, 0, 0, 0, 3, 17
"f:\projects\vue\edify-project\front-end\src\views\ForgotPassword.vue", "Vue", 0, 58, 0, 0, 0, 6, 64
"f:\projects\vue\edify-project\front-end\src\views\Home.vue", "Vue", 0, 17, 0, 0, 0, 2, 19
"f:\projects\vue\edify-project\front-end\src\views\Login.vue", "Vue", 0, 118, 0, 0, 0, 7, 125
"f:\projects\vue\edify-project\front-end\src\views\NotFound.vue", "Vue", 0, 14, 0, 0, 0, 4, 18
"f:\projects\vue\edify-project\front-end\src\views\Registration.vue", "Vue", 0, 119, 0, 0, 0, 2, 121
"Total", "-", 126, 720, 520, 494, 52, 161, 2073
